train_mse,train_mae,val_mse,val_mae,test_mse,test_mae,spear_corr,seed,position,window_size,num_dense,tolerance,amt_num_features,stratify_by
4.951305866241455,1.468542797611967,6.972853660583496,1.8362908169147927,5.724709987640381,1.6012972483946026,0.48913547496999493,400,DEF,6,64,0.0001,large,stdev
5.382797718048096,1.5495951290092687,6.139579772949219,1.6218830299511722,6.241600036621094,1.585592828680559,0.5716202598969451,401,DEF,6,64,0.0001,large,stdev
5.549878120422363,1.601028640833559,5.894528388977051,1.6381718071484048,6.524930000305176,1.6463032778329518,0.49357725034019884,402,DEF,6,64,0.0001,large,stdev
5.725795745849609,1.5939233792233556,5.406792640686035,1.5502434586260716,5.874623775482178,1.6545546095693808,0.5408002736580391,403,DEF,6,64,0.0001,large,stdev
5.192200183868408,1.4709822104651664,6.007091522216797,1.6285206878599137,6.223458766937256,1.673595693666236,0.5081989733415521,404,DEF,6,64,0.0001,large,stdev
5.4064555168151855,1.5043654779353495,5.7938337326049805,1.5745900448709726,6.3103718757629395,1.671892509427077,0.5341816849615316,405,DEF,6,64,0.0001,large,stdev
